event_id,ticker,date,title,format,call_time_gmt,timing,n_sentences,mgmt_tone,remarks_tone,answers_tone,analyst_tone,mgmt_pct_negative,tone_change,ret_1d,abn_1d,ret_5d,abn_5d,ret_10d,abn_10d
49,AMZN,2018-10-25,Q3 2018 Amazon.com Inc Earnings Call,full,21.5,after close,238,0.24411391440848323,-0.05622784001752734,0.2682793429255186,0.05148945784196258,0.0851063829787234,-0.043876687459261376,-0.07819679467129459,-0.05754595223687209,-0.06544830859024353,-0.08126066733098636,-0.015295964653752159,-0.04433807577875715
51,AMZN,2019-01-31,Q4 2018 Amazon.com Inc Earnings Call,full,22.5,after close,224,0.3357159346423307,-0.05566100337143455,0.3703949038334238,0.0537918652407825,0.05232558139534884,0.09160202023384745,-0.0538188086996656,-0.051364708934260594,-0.060719243985026705,-0.06162697534972683,-0.055901716452284145,-0.07584337275059383
50,AMZN,2019-04-25,Q1 2019 Amazon.com Inc Earnings Call,full,21.5,after close,261,0.23189316656498704,-0.045148837978818586,0.2536829871470841,-0.012139314164717993,0.08854166666666667,-0.10382276807734364,0.02543304244973066,0.02201872812781125,-0.0007517697463529371,0.009337327770031378,-0.001251152582468107,0.02437990166390369
52,AMZN,2019-07-25,Q2 2019 Amazon.com Inc Earnings Call,full,21.5,after close,237,0.35171124691535766,-0.04776589971567903,0.3834878381246447,0.009118913950279672,0.04736842105263158,0.11981808035037061,-0.015589009049359448,-0.0267159710554975,-0.060035871174644595,-0.04456954808865943,-0.07139958803516933,-0.047198712387765074
53,AMZN,2019-10-24,Q3 2019 Amazon.com Inc Earnings Call,full,21.5,after close,204,0.2563661986944051,-0.047774985166532655,0.28635194921590595,0.016477422051442165,0.08333333333333333,-0.09534504822095258,-0.010922220983645148,-0.017924629222970556,-0.0023135900745212545,-0.015331321944156207,0.004166669593754779,-0.026217621730848517
55,AMZN,2020-01-30,Q4 2019 Amazon.com Inc Earnings Call,full,22.5,after close,242,0.3033820387530834,-0.05381468636915088,0.3321220051422287,0.04953492788115033,0.06382978723404255,0.047015840058678315,0.07379130210151907,0.08970595711724372,0.09598109821937517,0.06659914651448351,0.14924522363031523,0.1048272042605145
54,AMZN,2020-04-30,Q1 2020 Amazon.com Inc Earnings Call,full,21.5,after close,259,0.17679052991809807,0.17857720489613713,0.17625237480423087,0.0267255311441976,0.09722222222222222,-0.12659150883498532,-0.07597411519805986,-0.04395903949198465,-0.043003190379951484,-0.053139851175677766,-0.034417907033144735,-0.04051157017562823
56,AMZN,2020-07-30,Q2 2020 Amazon.com Inc Earnings Call,full,21.5,after close,284,0.3069134600417665,0.3647652719336659,0.28437816122341036,0.059623023143245114,0.08786610878661087,0.13012293012366843,0.03696084162038438,0.02208902512623867,0.056725730905838434,0.007588018373292371,0.03576160962557773,-0.007183102119932228
58,ASML,2016-01-20,Q4 2015 ASML Holding NV Earnings Call,full,14.0,during market,430,0.20665816741227475,0.389496139031891,0.1392112712148163,0.04290035825802899,0.02922077922077922,,0.061503941143920215,0.06267890485155214,0.12288357268753836,0.10261983888471016,0.10196720761770495,0.0930325538338248
57,ASML,2016-04-20,Q1 2016 ASML Holding NV Earnings Call,full,13.0,before open,377,0.20881095132712113,0.30107705655042083,0.16197536491935477,0.10035908421268687,0.037037037037037035,0.0021527839148463845,-0.033283200684792735,-0.03486200308804377,-0.033483645429354225,-0.022947852845010996,-0.04218076240061075,-0.006330958803742681
